model_rank,batter_name,team,opponent,opposing_pitcher,lineup_slot,venue,park_hr_factor,hr_rating,rating,baseline_rating,matchup_rating,pitcher_vulnerability_rating,pitch_matchup_edge_rating,park_rating,weather_rating,lineup_context_rating,weather_temperature_f,weather_wind_mph,weather_wind_direction_deg,recent_power_rating,barrel_rating,contact_quality_rating,exit_velocity_rating,key_factors,expected_lineup
105,Elly De La Cruz,Cincinnati Reds,Milwaukee Brewers,Dustin May,2,American Family Field,88.0,6.5,Solid,8.3,5.0,2.5,5.0,5.0,6.7,9.0,73.22,9.5069763,146.0,10.0,9.3,5.9,9.7,Recent power + Lineup context,True
106,Cam Smith,Houston Astros,Tampa Bay Rays,Drew Rasmussen,7,Tropicana Field,107.0,6.5,Solid,8.9,5.1,1.9,5.1,5.8,6.5,4.0,81.5,2.8583065999999997,141.0,9.8,4.8,6.1,2.9,Recent power + Hitter skill,True
107,Brewer Hicklen,Atlanta Braves,Philadelphia Phillies,Aaron Nola,8,Truist Park,100.0,6.5,Solid,6.9,1.5,8.2,1.5,5.5,6.7,3.0,81.14,9.4448392,176.0,3.6,3.8,3.3,8.3,Pitcher vulnerability + Hitter skill,True
108,Jarren Duran,Boston Red Sox,Kansas City Royals,Seth Lugo,7,Fenway Park,92.0,6.4,Solid,5.9,5.1,7.2,5.1,5.1,6.6,4.0,71.78,5.2195164,295.0,7.7,7.4,8.7,8.8,Recent power + Pitcher vulnerability,True
109,J.P. Crawford,Seattle Mariners,Athletics,Jeffrey Springs,1,Sutter Health Park,100.0,6.4,Solid,5.7,2.2,9.2,2.2,5.5,5.5,10.0,,,,3.6,1.4,2.5,1.7,Lineup context + Pitcher vulnerability,True
110,Christian Walker,Houston Astros,Tampa Bay Rays,Drew Rasmussen,6,Tropicana Field,107.0,6.4,Solid,9.1,4.3,1.9,4.3,5.8,6.5,5.0,81.5,2.8583065999999997,141.0,8.1,3.4,6.0,6.7,Hitter skill + Recent power,True
111,Alec Burleson,St. Louis Cardinals,Chicago White Sox,Anthony Kay,3,Busch Stadium,70.0,6.3,Solid,7.0,7.1,5.2,7.1,4.2,5.5,8.0,,,,6.3,7.0,8.6,8.6,Lineup context + Pitch-type matchup,True
112,Travis Bazzana,Cleveland Guardians,Minnesota Twins,Taj Bradley,5,Target Field,113.0,6.3,Solid,5.0,5.4,6.5,5.4,6.1,5.5,6.0,,,,9.7,5.3,7.7,4.2,Recent power + Pitcher vulnerability,True
113,Lazaro Montes,Seattle Mariners,Athletics,Jeffrey Springs,8,Sutter Health Park,100.0,6.3,Solid,2.7,9.3,9.2,9.3,5.5,5.5,3.0,,,,9.5,4.6,1.0,1.6,Recent power + Pitch-type matchup,True
114,Michael Conforto,Chicago Cubs,Pittsburgh Pirates,Wilber Dotel,8,Wrigley Field,107.0,6.2,Solid,6.4,9.8,1.5,9.8,5.8,6.7,3.0,74.3,9.5069763,124.0,8.6,8.6,4.7,5.1,Pitch-type matchup + Recent power,True
115,Isaac Paredes,Houston Astros,Tampa Bay Rays,Drew Rasmussen,3,Tropicana Field,107.0,6.2,Solid,7.8,6.4,1.9,6.4,5.8,6.5,8.0,81.5,2.8583065999999997,141.0,6.8,2.4,2.1,5.8,Lineup context + Hitter skill,True
116,Royce Lewis,Minnesota Twins,Cleveland Guardians,Parker Messick,7,Target Field,113.0,6.2,Solid,7.3,6.8,3.9,6.8,6.1,5.5,4.0,,,,3.6,9.8,8.8,6.9,Hitter skill + Pitch-type matchup,True
117,A.J. Ewing,New York Mets,New York Yankees,Carlos Rodón,7,Yankee Stadium,117.0,6.1,Solid,7.2,3.8,4.2,3.8,6.3,6.5,4.0,76.28,4.6602825,325.0,6.8,2.2,5.5,3.8,Hitter skill + Recent power,True
118,Drake Baldwin,Atlanta Braves,Philadelphia Phillies,Aaron Nola,1,Truist Park,100.0,6.1,Solid,4.1,3.7,8.2,3.7,5.5,6.7,10.0,81.14,9.4448392,176.0,7.2,5.9,6.3,7.0,Lineup context + Pitcher vulnerability,True
119,Kaelen Culpepper,Minnesota Twins,Cleveland Guardians,Parker Messick,5,Target Field,113.0,6.1,Solid,6.2,8.6,3.9,8.6,6.1,5.5,6.0,,,,3.6,3.9,8.2,7.1,Pitch-type matchup + Hitter skill,True
120,Jared Triolo,Pittsburgh Pirates,Chicago Cubs,Shota Imanaga,9,Wrigley Field,107.0,6.0,Solid,5.3,2.4,8.5,2.4,5.8,6.7,2.0,74.3,9.5069763,124.0,3.6,1.9,4.8,3.9,Pitcher vulnerability + Weather,True
121,Nick Sogard,Boston Red Sox,Kansas City Royals,Seth Lugo,5,Fenway Park,92.0,6.0,Solid,5.9,3.8,7.2,3.8,5.1,6.6,6.0,71.78,5.2195164,295.0,7.2,5.2,3.1,7.1,Pitcher vulnerability + Recent power,True
122,Jake Mangum,Pittsburgh Pirates,Chicago Cubs,Shota Imanaga,7,Wrigley Field,107.0,6.0,Solid,5.1,2.1,8.5,2.1,5.8,6.7,4.0,74.3,9.5069763,124.0,3.6,2.0,1.5,1.2,Pitcher vulnerability + Weather,True
123,Shay Whitcomb,San Francisco Giants,San Diego Padres,Robbie Ray,6,Oracle Park,139.0,5.9,Solid,8.6,3.0,2.9,3.0,7.3,6.2,5.0,66.02,15.6585492,280.0,3.6,8.3,4.1,4.1,Hitter skill + Ballpark,True
124,Max Clark,Detroit Tigers,Colorado Rockies,Mason Adams,7,Comerica Park,100.0,5.9,Solid,4.0,4.6,9.9,4.6,5.5,6.6,4.0,73.94,6.2758471,96.0,3.6,1.4,7.1,2.8,Pitcher vulnerability + Weather,True
125,Spencer Horwitz,Pittsburgh Pirates,Chicago Cubs,Shota Imanaga,8,Wrigley Field,107.0,5.9,Solid,4.7,3.3,8.5,3.3,5.8,6.7,3.0,74.3,9.5069763,124.0,3.6,1.4,3.4,4.1,Pitcher vulnerability + Weather,True
126,Seiya Suzuki,Chicago Cubs,Pittsburgh Pirates,Wilber Dotel,2,Wrigley Field,107.0,5.8,Solid,7.1,7.3,1.5,7.3,5.8,6.7,9.0,74.3,9.5069763,124.0,3.6,6.4,2.3,4.3,Lineup context + Pitch-type matchup,True
127,Bo Bichette,New York Mets,New York Yankees,Carlos Rodón,3,Yankee Stadium,117.0,5.8,Solid,5.6,4.8,4.2,4.8,6.3,6.5,8.0,76.28,4.6602825,325.0,9.1,7.3,6.1,5.0,Recent power + Lineup context,True
128,Randy Arozarena,Seattle Mariners,Athletics,Jeffrey Springs,2,Sutter Health Park,100.0,5.8,Solid,3.4,6.9,9.2,6.9,5.5,5.5,9.0,,,,3.6,6.2,2.3,4.7,Pitcher vulnerability + Lineup context,True
129,Zack Gelof,Athletics,Seattle Mariners,George Kirby,3,Sutter Health Park,100.0,5.7,Solid,3.7,7.9,7.5,7.9,5.5,5.5,8.0,,,,7.2,7.4,4.9,6.0,Lineup context + Pitch-type matchup,True
130,Bryan Torres,St. Louis Cardinals,Chicago White Sox,Anthony Kay,1,Busch Stadium,70.0,5.7,Solid,8.2,3.5,5.2,3.5,4.2,5.5,10.0,,,,3.6,1.4,1.4,2.0,Lineup context + Hitter skill,True
131,James Wood,Washington Nationals,Los Angeles Angels,Yusei Kikuchi,1,Nationals Park,105.0,5.7,Solid,1.4,9.6,8.9,9.6,5.7,6.5,10.0,78.25999999999999,3.7282260000000003,73.0,3.6,7.4,7.6,10.0,Lineup context + Pitch-type matchup,True
132,Taylor Trammell,Houston Astros,Tampa Bay Rays,Drew Rasmussen,8,Tropicana Field,107.0,5.6,Solid,8.5,6.7,1.9,6.7,5.8,6.5,3.0,81.5,2.8583065999999997,141.0,3.6,7.1,4.5,5.7,Hitter skill + Pitch-type matchup,True
133,Brandon Lowe,Pittsburgh Pirates,Chicago Cubs,Shota Imanaga,5,Wrigley Field,107.0,5.6,Solid,3.9,3.1,8.5,3.1,5.8,6.7,6.0,74.3,9.5069763,124.0,3.6,2.2,4.3,5.3,Pitcher vulnerability + Weather,True
134,Jo Adell,Cleveland Guardians,Minnesota Twins,Taj Bradley,4,Target Field,113.0,5.6,Solid,4.9,5.3,6.5,5.3,6.1,5.5,7.0,,,,3.6,2.5,7.8,8.5,Lineup context + Pitcher vulnerability,True
135,Jordan Lawlar,Arizona Diamondbacks,Texas Rangers,TBD,8,Chase Field,213.0,5.5,Solid,5.4,5.5,5.5,5.5,10.0,5.5,3.0,,,,3.6,4.0,1.3,1.5,Ballpark + Pitcher vulnerability,True
136,Anthony Volpe,New York Yankees,New York Mets,Nolan McLean,9,Yankee Stadium,117.0,5.5,Solid,8.7,3.3,2.2,3.3,6.3,6.5,2.0,76.28,4.6602825,325.0,3.6,1.4,3.3,3.5,Hitter skill + Weather,True
137,Daulton Varsho,Houston Astros,Tampa Bay Rays,Drew Rasmussen,5,Tropicana Field,107.0,5.4,Neutral,8.0,4.4,1.9,4.4,5.8,6.5,6.0,81.5,2.8583065999999997,141.0,7.7,7.3,5.4,3.1,Hitter skill + Recent power,True
138,Trea Turner,Philadelphia Phillies,Atlanta Braves,Chris Sale,2,Truist Park,100.0,5.4,Neutral,6.5,7.6,1.2,7.6,5.5,6.7,9.0,81.14,9.4448392,176.0,9.3,6.1,7.4,7.3,Recent power + Lineup context,True
139,Dylan Beavers,Baltimore Orioles,Toronto Blue Jays,Max Scherzer,1,Rogers Centre,69.0,5.4,Neutral,6.3,5.6,5.5,5.6,4.1,5.9,10.0,66.74000000000001,4.7845567,101.0,3.6,7.9,3.0,4.0,Lineup context + Hitter skill,True
140,Samad Taylor,San Diego Padres,San Francisco Giants,Anthony Molina,8,Oracle Park,139.0,5.3,Neutral,6.2,1.5,6.2,1.5,7.3,6.2,3.0,66.02,15.6585492,280.0,3.6,3.5,1.1,1.0,Ballpark + Hitter skill,True
141,Leody Taveras,Baltimore Orioles,Toronto Blue Jays,Max Scherzer,8,Rogers Centre,69.0,5.3,Neutral,6.9,6.0,5.5,6.0,4.1,5.9,3.0,66.74000000000001,4.7845567,101.0,3.6,2.3,2.7,2.1,Hitter skill + Pitch-type matchup,True
142,Juan Soto,New York Mets,New York Yankees,Carlos Rodón,2,Yankee Stadium,117.0,5.3,Neutral,4.3,6.3,4.2,6.3,6.3,6.5,9.0,76.28,4.6602825,325.0,6.3,6.8,7.2,9.9,Lineup context + Weather,True
143,Adael Amador,Colorado Rockies,Detroit Tigers,Framber Valdez,7,Comerica Park,100.0,5.2,Neutral,4.7,10.0,3.2,10.0,5.5,6.6,4.0,73.94,6.2758471,96.0,7.7,8.6,3.7,3.6,Pitch-type matchup + Recent power,True
144,Hunter Feduccia,Los Angeles Dodgers,Miami Marlins,Ryan Gusto,7,loanDepot park,135.0,5.2,Neutral,5.8,3.0,4.9,3.0,7.1,6.6,4.0,75.38,7.0214923,207.0,3.6,4.8,4.5,7.0,Ballpark + Weather,True
145,Bryce Eldridge,San Francisco Giants,San Diego Padres,Robbie Ray,3,Oracle Park,139.0,5.2,Neutral,5.4,5.5,2.9,5.5,7.3,6.2,8.0,66.02,15.6585492,280.0,6.8,4.4,7.5,9.0,Lineup context + Ballpark,True
146,Jorge Mateo,Tampa Bay Rays,Houston Astros,Miguel Ullola,7,Tropicana Field,107.0,5.1,Neutral,3.2,3.4,9.5,3.4,5.8,6.5,4.0,81.5,2.8583065999999997,141.0,3.6,7.5,2.8,3.3,Pitcher vulnerability + Weather,True
147,Ke'Bryan Hayes,Cincinnati Reds,Milwaukee Brewers,Dustin May,9,American Family Field,88.0,5.1,Neutral,7.4,6.9,2.5,6.9,5.0,6.7,2.0,73.22,9.5069763,146.0,3.6,5.4,9.2,7.1,Hitter skill + Pitch-type matchup,True
148,Nathan Church,St. Louis Cardinals,Chicago White Sox,Anthony Kay,8,Busch Stadium,70.0,5.1,Neutral,8.1,3.2,5.2,3.2,4.2,5.5,3.0,,,,3.6,1.4,5.6,2.4,Hitter skill + Weather,True
149,Xander Bogaerts,San Diego Padres,San Francisco Giants,Anthony Molina,2,Oracle Park,139.0,5.0,Neutral,4.5,2.4,6.2,2.4,7.3,6.2,9.0,66.02,15.6585492,280.0,3.6,4.3,9.4,9.9,Lineup context + Ballpark,True
150,Braden Montgomery,Chicago White Sox,St. Louis Cardinals,Matthew Liberatore,6,Busch Stadium,70.0,5.0,Neutral,5.1,3.5,7.9,3.5,4.2,5.5,5.0,,,,8.1,5.5,4.6,5.2,Recent power + Pitcher vulnerability,True
151,Ben Malgeri,Detroit Tigers,Colorado Rockies,Mason Adams,8,Comerica Park,100.0,5.0,Neutral,2.5,5.1,9.9,5.1,5.5,6.6,3.0,73.94,6.2758471,96.0,3.6,4.5,4.2,5.9,Pitcher vulnerability + Weather,True
152,Jackson Holliday,Baltimore Orioles,Toronto Blue Jays,Max Scherzer,5,Rogers Centre,69.0,4.9,Neutral,6.8,4.4,5.5,4.4,4.1,5.9,6.0,66.74000000000001,4.7845567,101.0,3.6,5.5,6.6,3.7,Hitter skill + Lineup context,True
153,Bryce Harper,Philadelphia Phillies,Atlanta Braves,Chris Sale,3,Truist Park,100.0,4.9,Neutral,6.4,8.4,1.2,8.4,5.5,6.7,8.0,81.14,9.4448392,176.0,3.6,6.6,5.3,8.4,Pitch-type matchup + Lineup context,True
154,Chandler Simpson,Tampa Bay Rays,Houston Astros,Miguel Ullola,5,Tropicana Field,107.0,4.9,Neutral,3.6,1.5,9.5,1.5,5.8,6.5,6.0,81.5,2.8583065999999997,141.0,3.6,1.4,1.2,1.7,Pitcher vulnerability + Weather,True
155,Donovan Walton,Athletics,Seattle Mariners,George Kirby,7,Sutter Health Park,100.0,4.8,Neutral,2.8,8.1,7.5,8.1,5.5,5.5,4.0,,,,8.4,6.8,6.6,6.3,Recent power + Pitch-type matchup,True
156,Dominic Canzone,Seattle Mariners,Athletics,Jeffrey Springs,3,Sutter Health Park,100.0,4.8,Neutral,1.1,9.3,9.2,9.3,5.5,5.5,8.0,,,,3.6,7.2,3.5,4.1,Pitch-type matchup + Pitcher vulnerability,True
157,Sal Frelick,Milwaukee Brewers,Cincinnati Reds,Andrew Abbott,6,American Family Field,88.0,4.8,Neutral,6.7,1.5,5.9,1.5,5.0,6.7,5.0,73.22,9.5069763,146.0,3.6,2.7,4.2,1.6,Hitter skill + Weather,True
158,George Lombard,New York Yankees,New York Mets,Nolan McLean,6,Yankee Stadium,117.0,4.7,Neutral,5.5,6.4,2.2,6.4,6.3,6.5,5.0,76.28,4.6602825,325.0,7.7,3.9,3.6,2.7,Recent power + Weather,True
159,Oswald Peraza,Los Angeles Angels,Washington Nationals,Cade Cavalli,7,Nationals Park,105.0,4.7,Neutral,5.8,1.5,6.9,1.5,5.7,6.5,4.0,78.25999999999999,3.7282260000000003,73.0,3.6,1.4,1.5,2.1,Pitcher vulnerability + Weather,True
160,Kyle Isbel,Kansas City Royals,Boston Red Sox,Sonny Gray,8,Fenway Park,92.0,4.7,Neutral,7.5,2.7,4.5,2.7,5.1,6.6,3.0,71.78,5.2195164,295.0,3.6,5.4,2.0,3.0,Hitter skill + Weather,True
161,Hao-Yu Lee,Detroit Tigers,Colorado Rockies,Mason Adams,2,Comerica Park,100.0,4.6,Neutral,1.4,4.9,9.9,4.9,5.5,6.6,9.0,73.94,6.2758471,96.0,3.6,6.5,4.4,6.1,Pitcher vulnerability + Lineup context,True
162,Alejandro Kirk,Toronto Blue Jays,Baltimore Orioles,Chris Bassitt,4,Rogers Centre,69.0,4.6,Neutral,6.8,5.7,3.5,5.7,4.1,5.9,7.0,66.74000000000001,4.7845567,101.0,6.5,7.5,7.5,9.5,Lineup context + Hitter skill,True
163,Jase Bowen,San Diego Padres,San Francisco Giants,Anthony Molina,9,Oracle Park,139.0,4.6,Neutral,3.3,6.5,6.2,6.5,7.3,6.2,2.0,66.02,15.6585492,280.0,3.6,2.1,9.1,9.2,Ballpark + Pitch-type matchup,True
164,Andrew Vaughn,Milwaukee Brewers,Cincinnati Reds,Andrew Abbott,4,American Family Field,88.0,4.5,Below average,4.2,4.2,5.9,4.2,5.0,6.7,7.0,73.22,9.5069763,146.0,8.8,4.0,6.9,8.9,Recent power + Lineup context,True
165,Christian Encarnacion-Strand,Baltimore Orioles,Toronto Blue Jays,Max Scherzer,4,Rogers Centre,69.0,4.5,Below average,4.0,9.6,5.5,9.6,4.1,5.9,7.0,66.74000000000001,4.7845567,101.0,3.6,9.8,6.5,7.3,Pitch-type matchup + Lineup context,True
166,Caleb Durbin,Boston Red Sox,Kansas City Royals,Seth Lugo,6,Fenway Park,92.0,4.5,Below average,3.3,7.0,7.2,7.0,5.1,6.6,5.0,71.78,5.2195164,295.0,3.6,2.6,1.8,1.4,Pitcher vulnerability + Pitch-type matchup,True
167,Angel Genao,Cleveland Guardians,Minnesota Twins,Taj Bradley,7,Target Field,113.0,4.4,Below average,5.7,1.5,6.5,1.5,6.1,5.5,4.0,,,,3.6,1.4,8.3,8.4,Pitcher vulnerability + Ballpark,True
168,Luis Arraez,Philadelphia Phillies,Atlanta Braves,Chris Sale,4,Truist Park,100.0,4.4,Below average,8.7,2.3,1.2,2.3,5.5,6.7,7.0,81.14,9.4448392,176.0,3.6,3.2,1.4,3.8,Hitter skill + Lineup context,True
169,Kyren Paris,Los Angeles Angels,Washington Nationals,Cade Cavalli,6,Nationals Park,105.0,4.4,Below average,5.3,1.5,6.9,1.5,5.7,6.5,5.0,78.25999999999999,3.7282260000000003,73.0,3.6,1.4,5.1,7.7,Pitcher vulnerability + Weather,True
170,Austin Hays,San Diego Padres,San Francisco Giants,Anthony Molina,7,Oracle Park,139.0,4.3,Below average,5.0,1.5,6.2,1.5,7.3,6.2,4.0,66.02,15.6585492,280.0,3.6,6.5,9.4,6.4,Ballpark + Pitcher vulnerability,True
171,Vaughn Grissom,Los Angeles Angels,Washington Nationals,Cade Cavalli,4,Nationals Park,105.0,4.3,Below average,3.5,5.0,6.9,5.0,5.7,6.5,7.0,78.25999999999999,3.7282260000000003,73.0,3.6,6.0,3.8,2.3,Lineup context + Pitcher vulnerability,True
172,Drew Gilbert,San Francisco Giants,San Diego Padres,Robbie Ray,1,Oracle Park,139.0,4.3,Below average,6.3,2.1,2.9,2.1,7.3,6.2,10.0,66.02,15.6585492,280.0,3.6,9.7,9.1,2.3,Lineup context + Ballpark,True
173,Alex Freeland,Los Angeles Dodgers,Miami Marlins,Ryan Gusto,8,loanDepot park,135.0,4.2,Below average,5.7,1.5,4.9,1.5,7.1,6.6,3.0,75.38,7.0214923,207.0,3.6,5.7,2.7,4.3,Ballpark + Weather,True
174,Jasson Domínguez,New York Yankees,New York Mets,Nolan McLean,3,Yankee Stadium,117.0,4.2,Below average,4.4,8.4,2.2,8.4,6.3,6.5,8.0,76.28,4.6602825,325.0,3.6,7.6,7.8,4.9,Pitch-type matchup + Lineup context,True
175,Teoscar Hernández,Los Angeles Dodgers,Miami Marlins,Ryan Gusto,5,loanDepot park,135.0,4.2,Below average,3.0,5.4,4.9,5.4,7.1,6.6,6.0,75.38,7.0214923,207.0,7.7,9.5,8.4,9.0,Recent power + Ballpark,True
176,Steven Kwan,Cleveland Guardians,Minnesota Twins,Taj Bradley,1,Target Field,113.0,4.1,Below average,4.3,2.2,6.5,2.2,6.1,5.5,10.0,,,,3.6,1.9,1.1,1.1,Lineup context + Pitcher vulnerability,True
177,Ha-Seong Kim,Atlanta Braves,Philadelphia Phillies,Aaron Nola,9,Truist Park,100.0,4.1,Below average,4.5,1.5,8.2,1.5,5.5,6.7,2.0,81.14,9.4448392,176.0,3.6,3.0,2.9,3.7,Pitcher vulnerability + Weather,True
178,Luke Keaschall,Minnesota Twins,Cleveland Guardians,Parker Messick,1,Target Field,113.0,4.1,Below average,3.9,7.6,3.9,7.6,6.1,5.5,10.0,,,,3.6,5.8,8.0,7.2,Lineup context + Pitch-type matchup,True
179,TJ Rumfield,Colorado Rockies,Detroit Tigers,Framber Valdez,4,Comerica Park,100.0,4.0,Below average,5.2,5.6,3.2,5.6,5.5,6.6,7.0,73.94,6.2758471,96.0,7.2,6.7,2.6,3.9,Recent power + Lineup context,True
180,Christian Yelich,Milwaukee Brewers,Cincinnati Reds,Andrew Abbott,5,American Family Field,88.0,4.0,Below average,4.6,4.4,5.9,4.4,5.0,6.7,6.0,73.22,9.5069763,146.0,3.6,8.4,8.9,9.2,Weather + Lineup context,True
181,Jeremy Peña,Houston Astros,Tampa Bay Rays,Drew Rasmussen,1,Tropicana Field,107.0,4.0,Below average,4.7,8.5,1.9,8.5,5.8,6.5,10.0,81.5,2.8583065999999997,141.0,3.6,8.2,5.7,3.5,Lineup context + Pitch-type matchup,True
182,Jose Altuve,Houston Astros,Tampa Bay Rays,Drew Rasmussen,4,Tropicana Field,107.0,3.9,Below average,5.3,8.2,1.9,8.2,5.8,6.5,7.0,81.5,2.8583065999999997,141.0,3.6,2.4,6.8,4.4,Pitch-type matchup + Lineup context,True
183,Corey Seager,Texas Rangers,Arizona Diamondbacks,TBD,2,Chase Field,213.0,3.9,Below average,2.0,5.5,5.5,5.5,10.0,5.5,9.0,,,,9.8,8.9,9.2,8.9,Ballpark + Recent power,True
184,Nate Eaton,Boston Red Sox,Kansas City Royals,Seth Lugo,9,Fenway Park,92.0,3.9,Below average,4.9,3.4,7.2,3.4,5.1,6.6,2.0,71.78,5.2195164,295.0,3.6,5.0,7.0,9.1,Pitcher vulnerability + Weather,True
185,Jake Burger,Texas Rangers,Arizona Diamondbacks,TBD,7,Chase Field,213.0,3.8,Below average,2.6,5.5,5.5,5.5,10.0,5.5,4.0,,,,9.8,8.9,6.2,6.9,Ballpark + Recent power,True
186,Joshua Báez,St. Louis Cardinals,Chicago White Sox,Anthony Kay,5,Busch Stadium,70.0,3.8,Below average,3.6,8.7,5.2,8.7,4.2,5.5,6.0,,,,8.1,3.7,6.4,7.9,Pitch-type matchup + Recent power,True
187,Dominic Smith,Atlanta Braves,Philadelphia Phillies,Aaron Nola,6,Truist Park,100.0,3.8,Below average,2.9,3.6,8.2,3.6,5.5,6.7,5.0,81.14,9.4448392,176.0,3.6,2.0,1.1,5.5,Pitcher vulnerability + Weather,True
188,Tyler Heineman,Los Angeles Angels,Washington Nationals,Cade Cavalli,9,Nationals Park,105.0,3.7,Below average,5.2,1.5,6.9,1.5,5.7,6.5,2.0,78.25999999999999,3.7282260000000003,73.0,3.6,1.4,1.5,1.1,Pitcher vulnerability + Weather,True
189,Jordan Beck,Colorado Rockies,Detroit Tigers,Framber Valdez,8,Comerica Park,100.0,3.7,Below average,7.7,1.5,3.2,1.5,5.5,6.6,3.0,73.94,6.2758471,96.0,3.6,2.6,3.2,1.3,Hitter skill + Weather,True
190,Jung Hoo Lee,San Francisco Giants,San Diego Padres,Robbie Ray,5,Oracle Park,139.0,3.7,Below average,6.0,2.8,2.9,2.8,7.3,6.2,6.0,66.02,15.6585492,280.0,3.6,5.7,7.2,7.2,Ballpark + Weather,True
191,Michael Harris,Atlanta Braves,Philadelphia Phillies,Aaron Nola,4,Truist Park,100.0,3.6,Below average,3.0,2.3,8.2,2.3,5.5,6.7,7.0,81.14,9.4448392,176.0,3.6,6.3,7.9,3.6,Pitcher vulnerability + Lineup context,True
192,Jacob Young,Washington Nationals,Los Angeles Angels,Yusei Kikuchi,9,Nationals Park,105.0,3.6,Below average,3.1,2.8,8.9,2.8,5.7,6.5,2.0,78.25999999999999,3.7282260000000003,73.0,3.6,3.3,2.4,5.0,Pitcher vulnerability + Weather,True
193,Tristan Peters,Chicago White Sox,St. Louis Cardinals,Matthew Liberatore,8,Busch Stadium,70.0,3.6,Below average,2.9,7.9,7.9,7.9,4.2,5.5,3.0,,,,3.6,7.3,9.7,7.6,Pitcher vulnerability + Pitch-type matchup,True
194,Rece Hinds,Baltimore Orioles,Toronto Blue Jays,Max Scherzer,6,Rogers Centre,69.0,3.5,Below average,7.0,1.5,5.5,1.5,4.1,5.9,5.0,66.74000000000001,4.7845567,101.0,3.6,1.4,1.4,2.0,Hitter skill + Weather,True
195,Carlos Jorge,Cincinnati Reds,Milwaukee Brewers,Dustin May,1,American Family Field,88.0,3.5,Below average,7.2,1.5,2.5,1.5,5.0,6.7,10.0,73.22,9.5069763,146.0,3.6,9.4,3.2,3.8,Lineup context + Hitter skill,True
196,Sal Stewart,Cincinnati Reds,Milwaukee Brewers,Dustin May,3,American Family Field,88.0,3.5,Below average,4.4,8.6,2.5,8.6,5.0,6.7,8.0,73.22,9.5069763,146.0,3.6,7.1,5.5,8.6,Pitch-type matchup + Lineup context,True
197,Tommy Edman,Los Angeles Dodgers,Miami Marlins,Ryan Gusto,1,loanDepot park,135.0,3.4,Weak,2.0,4.8,4.9,4.8,7.1,6.6,10.0,75.38,7.0214923,207.0,7.2,2.4,5.2,6.3,Lineup context + Recent power,True
198,Carlos Cortes,Athletics,Seattle Mariners,George Kirby,4,Sutter Health Park,100.0,3.4,Weak,3.1,3.1,7.5,3.1,5.5,5.5,7.0,,,,8.6,3.0,3.4,2.7,Recent power + Pitcher vulnerability,True
199,Brett Baty,New York Mets,New York Yankees,Carlos Rodón,8,Yankee Stadium,117.0,3.4,Weak,2.0,8.3,4.2,8.3,6.3,6.5,3.0,76.28,4.6602825,325.0,9.8,9.5,8.1,9.1,Recent power + Pitch-type matchup,True
200,Pedro Ramírez,Chicago Cubs,Pittsburgh Pirates,Wilber Dotel,7,Wrigley Field,107.0,3.3,Weak,4.2,7.7,1.5,7.7,5.8,6.7,4.0,74.3,9.5069763,124.0,8.1,8.1,5.2,3.3,Recent power + Pitch-type matchup,True
201,Vladimir Guerrero,Toronto Blue Jays,Baltimore Orioles,Chris Bassitt,3,Rogers Centre,69.0,3.3,Weak,5.6,6.6,3.5,6.6,4.1,5.9,8.0,66.74000000000001,4.7845567,101.0,3.6,7.0,9.0,9.4,Lineup context + Pitch-type matchup,True
202,Andrew Benintendi,Chicago White Sox,St. Louis Cardinals,Matthew Liberatore,4,Busch Stadium,70.0,3.3,Weak,3.2,5.3,7.9,5.3,4.2,5.5,7.0,,,,3.6,8.4,9.7,9.3,Pitcher vulnerability + Lineup context,True
203,Otto Lopez,Miami Marlins,Los Angeles Dodgers,TBD,4,loanDepot park,135.0,3.2,Weak,2.0,5.5,5.5,5.5,7.1,6.6,7.0,75.38,7.0214923,207.0,3.6,7.5,7.3,6.6,Ballpark + Lineup context,True
204,Sam Antonacci,Chicago White Sox,St. Louis Cardinals,Matthew Liberatore,1,Busch Stadium,70.0,3.2,Weak,3.1,4.3,7.9,4.3,4.2,5.5,10.0,,,,3.6,2.8,1.6,5.8,Lineup context + Pitcher vulnerability,True
205,Evan Carter,Texas Rangers,Arizona Diamondbacks,TBD,6,Chase Field,213.0,3.2,Weak,2.0,5.5,5.5,5.5,10.0,5.5,5.0,,,,8.4,4.2,2.5,2.8,Ballpark + Recent power,True
206,Brett Bateman,Toronto Blue Jays,Baltimore Orioles,Chris Bassitt,1,Rogers Centre,69.0,3.1,Weak,7.3,1.5,3.5,1.5,4.1,5.9,10.0,66.74000000000001,4.7845567,101.0,3.6,1.4,1.3,2.2,Lineup context + Hitter skill,True
207,Trevor Story,Boston Red Sox,Kansas City Royals,Seth Lugo,4,Fenway Park,92.0,3.1,Weak,4.2,1.5,7.2,1.5,5.1,6.6,7.0,71.78,5.2195164,295.0,3.6,9.4,6.2,3.7,Pitcher vulnerability + Lineup context,True
208,Brice Turang,Milwaukee Brewers,Cincinnati Reds,Andrew Abbott,2,American Family Field,88.0,3.1,Weak,2.0,7.5,5.9,7.5,5.0,6.7,9.0,73.22,9.5069763,146.0,3.6,1.9,1.8,2.8,Lineup context + Pitch-type matchup,True
209,John Peck,Detroit Tigers,Colorado Rockies,Mason Adams,9,Comerica Park,100.0,3.0,Weak,2.5,1.5,9.9,1.5,5.5,6.6,2.0,73.94,6.2758471,96.0,3.6,7.2,3.1,3.5,Pitcher vulnerability + Weather,True
